Arp,Name,RAJ2000,DEJ2000,VT,dim1,dim2
249,UGC 12891,00 00 19.3,+22 59 26,16.2,,
249,UGC 12891,00 00 21.6,+22 59 42,16.2,1.3,0.5
112,NGC 7805,00 01 26.9,+31 26 02,13.3,1.2,0.9
112,NGC 7806,00 01 30.2,+31 26 33,13.5,1.1,0.8
130,IC 5378,00 02 37.7,+16 39 08,15.6,0.5,
130,IC 5378,00 02 37.8,+16 38 37,15.3,,
51,MGC-02-01-24,00 06 16.8,-13 26 53,15.0,0.8,
144,NGC 7828,00 06 27.1,-13 24 58,14.4,0.9,0.5
144,NGC 7829,00 06 29.0,-13 25 15,14.6,0.7,
146,ARP 146,00 06 44.0,-06 38 07,,0.7,0.6
146,VV 790,00 06 44.4,-06 38 10,,,
146,ARP 146,00 06 44.8,-06 38 14,,0.7,0.6
246,NGC 7837,00 06 51.4,+08 21 05,14.4,0.4,0.2
246,NGC 7838,00 06 53.7,+08 21 00,14.3,0.7,0.3
235,NGC 0014,00 08 46.2,+15 48 56,12.7,2.8,2.1
113,NGC 0070,00 18 22.4,+30 04 50,14.5,1.4,1.2
256,MCG-02-01-52,00 18 50.0,-10 21 42,13.6,1.1,0.8
256,MCG-02-01-51,00 18 50.9,-10 22 37,14.8,1.1,0.6
256,VV 352,00 18 51.4,-10 22 33,,,
65,NGC 0091,00 21 51.7,+22 24 01,13.7,2.2,
35,UGC 00212,00 22 21.4,-01 20 47,15.5,,
35,UGC 00212,00 22 23.0,-01 18 13,15.0,1.5,0.7
201,UGC 00224,00 23 33.7,-00 29 22,16.0,0.5,0.3
201,UGC 00224,00 23 37.7,-00 30 35,16.0,,
100,IC 0018,00 28 38.1,-11 34 25,15.0,1.5,0.8
100,IC 0019,00 28 39.5,-11 38 27,15.0,0.8,0.5
19,NGC 0145,00 31 45.0,-05 09 12,13.2,1.8,1.3
282,NGC 0169,00 36 52.0,+23 59 30,12.4,2.7,0.7
282,IC 1559,00 36 52.2,+23 59 04,14.0,0.8,0.5
127,NGC 0191,00 38 59.2,-09 00 07,12.5,1.5,1.2
127,IC 1563,00 39 00.1,-09 00 52,14.2,0.7,0.4
168,MESSIER 32,00 42 41.8,+40 51 52,9.0,8.8,6.5
231,IC 1575,00 43 33.3,-04 07 05,14.5,,
230,IC 0051,00 46 24.2,-13 26 32,13.0,1.4,1.2
140,NGC 0274,00 51 01.7,-07 03 24,13.0,1.5,
140,NGC 0275,00 51 04.6,-07 03 48,12.5,1.6,1.1
251,VV 674,00 53 46.9,-13 51 40,15.5,0.9,0.4
121,MCG-01-03-052,00 59 23.3,-04 48 50,14.5,0.9,0.7
121,MCG-01-03-051,00 59 23.5,-04 48 15,14.5,2.1,0.6
59,NGC 0341A,01 00 45.7,-09 11 08,14.5,1.1,
59,NGC 0341B,01 00 47.6,-09 11 15,14.7,0.3,0.2
331,NGC 0379,01 07 15.7,+32 31 17,12.6,1.4,0.8
331,NGC 0380,01 07 18.0,+32 29 02,12.5,1.4,1.2
331,NGC 0382,01 07 23.8,+32 24 13,14.0,0.7,
331,NGC 0383,01 07 24.9,+32 24 45,11.9,1.6,1.4
331,NGC 0384,01 07 25.0,+32 17 34,13.0,1.1,0.9
331,NGC 0385,01 07 27.6,+32 19 16,12.9,1.1,1.0
331,NGC 0386,01 07 31.2,+32 21 44,14.1,0.9,0.8
331,NGC 0388,01 07 47.1,+32 18 36,14.3,0.9,0.8
236,IC 1623A,01 07 47.6,-17 30 24,14.3,0.5,0.4
236,IC 1623B,01 07 49.6,-17 30 18,15.5,0.7,0.6
11,UGC 00717,01 09 23.1,+14 20 12,14.4,1.5,1.0
164,NGC 0455,01 15 57.2,+05 10 40,12.6,2.0,1.2
128,UGC 00827,01 17 24.4,+14 41 48,15.4,0.7,0.2
128,UGC 00827,01 17 29.3,+14 42 09,16.8,,
88,VV 445,01 19 05.6,+12 28 45,,,
119,UGC 00849,01 19 24.1,+12 26 49,14.7,,
119,UGC 00849,01 19 24.5,+12 27 43,14.9,,
227,NGC 0470,01 19 45.5,+03 24 37,11.9,2.8,1.8
48,CGCG 436-026,01 19 56.6,+12 20 44,15.7,,
227,NGC 0474,01 20 06.7,+03 25 01,11.5,7.1,6.3
67,UGC 00892,01 21 16.8,-00 32 42,14.0,1.6,1.5
8,NGC 0497,01 22 23.2,-00 52 29,13.0,2.1,0.9
70,UGC 00934,01 23 26.8,+30 46 20,17.0,,
70,UGC 00934,01 23 28.3,+30 47 05,15.0,1.7,0.6
229,NGC 0507,01 23 39.7,+33 15 23,14.1,3.1,
229,NGC 0508,01 23 40.6,+33 16 51,13.5,1.3,
157,NGC 0520,01 24 35.2,+03 47 37,11.5,4.5,1.8
158,NGC 0523,01 25 19.6,+34 01 29,13.5,2.5,0.7
133,NGC 0541,01 25 44.2,-01 22 47,12.1,1.8,1.8
308,NGC 0545,01 25 59.2,-01 20 25,12.2,2.4,1.6
308,NGC 0547,01 26 00.6,-01 20 44,12.2,1.3,
98,UGC 01095,01 32 08.5,+32 06 13,16.0,1.1,0.5
98,UGC 01095,01 32 16.8,+32 05 25,15.0,0.3,
306,UGC 01102,01 32 29.1,+04 35 45,14.6,1.3,1.1
306,UGC 01102,01 32 29.7,+04 35 24,,,
306,UGC 01105,01 32 41.8,+04 38 24,14.5,0.9,0.6
4,MCG-02-05-50 +A,01 48 25.6,-12 22 55,13.7,2.8,2.4
228,IC 0162,01 48 53.4,+10 31 18,13.7,1.6,
31,IC 0167,01 51 08.2,+21 54 51,13.6,2.9,1.9
75,NGC 0702,01 51 18.3,-04 03 21,11.9,1.6,1.2
56,UGC 01432,01 57 25.7,+17 13 03,14.6,0.9,0.6
166,NGC 0750,01 57 32.4,+33 12 36,12.9,1.7,1.3
166,NGC 0751,01 57 32.6,+33 12 22,13.5,1.4,
126,UGC 01449,01 58 05.4,+03 06 05,14.5,1.2,0.7
126,UGC 01449,01 58 05.6,+03 05 06,13.9,0.4,0.3
78,NGC 0770,01 59 13.6,+18 57 16,13.9,1.1,0.7
78,NGC 0772,01 59 20.3,+19 00 22,10.3,7.3,4.3
290,IC 0195,02 03 44.6,+14 42 31,14.3,1.6,0.8
290,IC 0196,02 03 50.0,+14 44 23,14.2,2.8,1.4
74,UGC 01626,02 08 21.3,+41 28 46,14.1,1.6,1.5
318,NGC 0833,02 09 20.6,-10 07 59,12.7,1.5,0.7
318,NGC 0835,02 09 24.6,-10 08 09,12.1,1.3,1.1
318,NGC 0838,02 09 38.4,-10 08 48,13.4,1.2,0.9
318,NGC 0839,02 09 42.9,-10 11 02,13.1,1.5,0.7
10,UGC 01775,02 18 26.3,+05 39 14,13.8,1.5,1.5
273,UGC 01810,02 21 28.7,+39 22 31,13.7,2.2,1.5
273,UGC 01813,02 21 32.4,+39 21 23,15.3,1.5,0.4
145,ARP 145,02 23 08.0,+41 22 12,13.8,,
145,UGC 01840,02 23 08.4,+41 22 20,18.8,1.6,1.3
145,ARP 145,02 23 11.4,+41 22 05,17.8,,
54,PGC 9107,02 23 59.1,-04 41 48,17.1,0.5,0.3
54,MCG-01-07-007,02 24 01.8,-04 41 38,15.0,1.0,0.6
276,NGC 0935,02 28 10.9,+19 35 59,12.9,1.7,1.1
