cat,name,ra,dec,size,bri
IC,   5,00h17m24s,-09d33m00s,0.8,1
IC,   6,00h19m00s,-03d16m00s,0.5,1
IC,   8,00h19m06s,-03d13m00s,0.7,1
IC,   9,00h19m42s,-14d07m00s,0.4,1
IC,  10,00h20m24s,+59d18m00s,5.1,2
IC,  12,00h20m18s,-02d39m00s,0.7,1
IC,  13,00h20m24s,+07d42m00s,1.6,1
IC,  16,00h27m54s,-13d05m00s,0.5,1
IC,  18,00h28m36s,-11d34m00s,0.6,1
IC,  19,00h28m42s,-11d38m00s,0.6,1
IC,  20,00h28m30s,-13d00m00s,0.6,1
IC,  21,00h29m12s,-00d10m00s,0.4,1
IC,  22,00h29m36s,-09d03m00s,0.6,1
IC,  25,00h31m12s,-00d24m00s,0.8,1
IC,  29,00h34m12s,-02d11m00s,0.6,1
IC,  30,00h34m18s,-02d05m00s,0.4,1
IC,  31,00h34m24s,+12d17m00s,1.4,1
IC,  32,00h35m00s,-02d08m00s,0.4,1
IC,  33,00h35m06s,-02d08m00s,0.5,1
IC,  34,00h35m36s,+09d08m00s,3.4,1
IC,  35,00h37m42s,+10d21m00s,1.3,1
IC,  37,00h38m30s,-15d23m00s,0.7,1
IC,  38,00h38m36s,-15d26m00s,0.6,1
IC,  40,00h39m30s,+02d26m00s,1.2,1
IC,  42,00h41m06s,-15d26m00s,0.6,1
IC,  43,00h42m24s,+29d38m00s,2.1,2
IC,  44,00h42m12s,+00d51m00s,0.5,1
IC,  49,00h44m00s,+01d51m00s,1.9,2
IC,  50,00h46m12s,-09d30m00s,0.6,1
IC,  51,00h46m24s,-13d26m00s,1.0,1
IC,  52,00h48m24s,+04d06m00s,1.2,1
IC,  55,00h51m42s,+07d43m00s,0.5,1
IC,  56,00h51m30s,-12d51m00s,1.3,2
IC,  57,00h54m48s,+11d50m00s,1.1,1
IC,  58,00h55m06s,-13d41m00s,0.6,1
IC,  59,00h56m42s,+61d04m00s,10.0,2
IC,  60,00h56m06s,-13d23m00s,0.6,1
IC,  61,00h57m06s,+07d31m00s,1.5,1
IC,  62,00h58m42s,+11d49m00s,1.0,1
IC,  63,00h59m30s,+60d49m00s,10.0,2
IC,  64,00h59m24s,+27d03m00s,1.3,1
IC,  65,01h00m54s,+47d41m00s,4.3,1
IC,  66,01h00m30s,+30d48m00s,1.1,1
IC,  75,01h07m12s,+10d51m00s,1.6,1
IC,  76,01h08m12s,-04d32m00s,0.7,1
IC,  79,01h08m48s,-15d57m00s,0.7,2
IC,  83,01h10m30s,+01d41m00s,0.5,1
IC,  89,01h16m06s,+04d18m00s,2.3,2
IC,  90,01h16m30s,-07d58m00s,0.5,1
IC,  92,01h19m54s,+32d46m00s,0.7,1
IC,  93,01h19m00s,-17d04m00s,1.2,1
IC,  98,01h21m00s,-12d37m00s,0.6,1
IC,  99,01h22m30s,-12d57m00s,0.5,1
IC, 101,01h24m06s,+09d56m00s,1.6,1
IC, 102,01h24m24s,+09d54m00s,1.0,1
IC, 103,01h24m36s,+02d02m00s,1.4,1
IC, 107,01h25m12s,+14d53m00s,1.2,1
IC, 108,01h24m42s,-12d38m00s,0.8,1
IC, 109,01h25m12s,+02d04m00s,1.3,1
IC, 112,01h26m00s,+11d27m00s,0.9,1
IC, 114,01h26m18s,+09d56m00s,1.6,1
IC, 115,01h26m54s,+19d13m00s,0.6,1
IC, 119,01h27m54s,-02d03m00s,1.6,2
IC, 121,01h28m24s,+02d31m00s,1.2,1
IC, 123,01h28m48s,+02d27m00s,0.4,1
IC, 125,01h29m18s,-13d18m00s,0.4,1
IC, 127,01h29m48s,-06d59m00s,2.1,2
IC, 128,01h31m18s,-12d38m00s,0.8,1
IC, 129,01h31m36s,-12d41m00s,1.0,1
IC, 138,01h33m00s,-00d42m00s,1.4,1
IC, 141,01h32m48s,-14d49m00s,1.0,1
IC, 144,01h37m42s,-13d19m00s,0.6,1
IC, 145,01h38m42s,+00d44m00s,0.6,1
IC, 146,01h38m42s,-17d50m00s,1.4,2
IC, 147,01h40m00s,-14d52m00s,0.8,1
IC, 149,01h42m24s,-16d18m00s,1.0,1
IC, 150,01h43m00s,+04d12m00s,1.0,1
IC, 154,01h45m18s,+10d39m00s,1.3,1
IC, 156,01h45m30s,+10d33m00s,1.8,1
IC, 159,01h46m30s,-08d39m00s,0.6,1
IC, 160,01h46m24s,-13d15m00s,0.8,1
IC, 162,01h48m54s,+10d31m00s,1.9,1
IC, 163,01h49m18s,+20d42m00s,1.8,1
IC, 166,01h52m30s,+61d50m00s,5.0,2
IC, 167,01h51m06s,+21d55m00s,3.0,2
IC, 171,01h55m12s,+35d17m00s,2.5,1
IC, 172,01h54m54s,+00d49m00s,0.1,2
IC, 173,01h56m00s,+01d17m00s,1.2,2
IC, 174,01h56m18s,+03d46m00s,1.7,1
IC, 175,01h56m18s,+01d20m00s,0.2,2
IC, 176,01h56m54s,-02d01m00s,2.4,1
IC, 182,01h59m48s,+07d25m00s,2.0,1
IC, 183,01h59m36s,-05d22m00s,1.0,1
IC, 184,01h59m54s,-06d50m00s,1.0,1
IC, 185,02h00m06s,-01d31m00s,0.5,1
IC, 189,02h01m54s,+23d33m00s,0.7,1
IC, 190,02h02m06s,+23d32m00s,0.3,1
IC, 192,02h02m30s,+16d01m00s,1.1,1
IC, 194,02h03m06s,+02d36m00s,1.7,1
IC, 195,02h03m42s,+14d42m00s,1.5,1
IC, 197,02h04m06s,+02d47m00s,1.0,1
IC, 198,02h06m06s,+09d17m00s,1.4,2
IC, 199,02h06m18s,+09d13m00s,1.6,1
IC, 202,02h07m30s,+09d10m00s,1.6,1
IC, 205,02h07m24s,-02d06m00s,1.1,1
IC, 208,02h08m24s,+06d23m00s,1.5,1
IC, 209,02h09m00s,-07d04m00s,0.8,1
IC, 211,02h11m06s,+03d52m00s,2.5,2
IC, 214,02h14m00s,+05d11m00s,0.9,1
IC, 215,02h14m12s,-06d47m00s,1.0,1
IC, 218,02h17m06s,+01d18m00s,0.7,1
IC, 221,02h22m42s,+28d16m00s,2.2,1
IC, 222,02h22m42s,+11d38m00s,0.6,1
IC, 223,02h22m00s,-20d45m00s,1.4,2
IC, 224,02h24m42s,-12d34m00s,0.5,1
IC, 225,02h26m30s,+01d09m00s,1.8,1
IC, 226,02h27m42s,+28d11m00s,2.3,1
IC, 227,02h28m00s,+28d10m00s,2.3,1
IC, 228,02h26m42s,-14d31m00s,0.8,1
IC, 231,02h30m00s,+01d10m00s,1.1,1
IC, 232,02h31m12s,+01d15m00s,1.7,1
IC, 235,02h32m48s,+20d39m00s,0.5,1
IC, 237,02h33m30s,+01d08m00s,0.5,1
IC, 238,02h35m18s,+12d49m00s,1.8,1
IC, 239,02h36m30s,+38d58m00s,4.6,2
IC, 241,02h37m54s,+02d20m00s,1.2,1
IC, 242,02h38m30s,-06d55m00s,0.9,1
IC, 243,02h38m30s,-06d55m00s,0.9,1
IC, 244,02h39m24s,+02d43m00s,0.6,1
IC, 245,02h38m54s,-14d18m00s,0.7,1
IC, 247,02h40m06s,-11d44m00s,1.2,1
IC, 248,02h41m24s,+17d48m00s,1.3,1
IC, 249,02h41m06s,-06d56m00s,1.9,2
IC, 250,02h40m54s,-13d19m00s,0.8,1
IC, 251,02h41m12s,-14d58m00s,0.4,1
IC, 253,02h42m06s,-15d03m00s,0.3,1
IC, 254,02h42m06s,-15d05m00s,0.5,1
IC, 255,02h47m06s,+16d16m00s,0.6,1
IC, 256,02h49m48s,+46d59m00s,2.5,1
IC, 258,02h49m48s,+41d03m00s,1.7,1
IC, 260,02h51m06s,+46d57m00s,1.8,1
IC, 262,02h51m42s,+42d50m00s,2.3,1
IC, 266,02h55m00s,+42d14m00s,0.3,1
IC, 267,02h53m48s,+12d50m00s,2.2,2
IC, 268,02h55m24s,-14d06m00s,0.6,1
IC, 269,02h55m24s,-14d04m00s,1.0,1
IC, 270,02h55m42s,-14d12m00s,1.2,1
IC, 271,02h56m00s,-12d00m00s,0.8,1
IC, 272,02h56m06s,-14d11m00s,0.9,1
IC, 273,02h57m06s,+02d47m00s,1.8,1
IC, 276,02h58m42s,-15d41m00s,2.0,1
IC, 277,02h59m48s,+02d46m00s,1.6,2
IC, 278,03h01m30s,+37d47m00s,2.3,1
IC, 283,03h03m54s,-00d12m00s,0.4,1
IC, 284,03h06m12s,+42d23m00s,4.9,1
IC, 285,03h04m06s,-12d01m00s,1.0,1
IC, 289,03h10m18s,+61d19m00s,0.6,2
IC, 290,03h09m42s,+40d59m00s,1.2,1
IC, 291,03h07m24s,-12d37m00s,0.8,1
IC, 292,03h10m18s,+40d46m00s,1.2,2
IC, 293,03h10m54s,+41d07m00s,0.2,1
IC, 296,03h11m06s,+40d37m00s,2.8,1
IC, 302,03h12m48s,+04d42m00s,2.1,2
IC, 304,03h15m00s,+37d54m00s,1.3,1
IC, 305,03h15m06s,+37d51m00s,1.0,1
IC, 307,03h13m48s,-00d13m00s,1.9,1
IC, 309,03h16m06s,+40d48m00s,1.0,2
IC, 310,03h16m42s,+41d20m00s,1.6,2
