cat,name,ra,dec,size,bri
NGC,1,00h07m18s,+27d43m00s,1.9,1
NGC,10,00h08m36s,-33d52m00s,2.7,2
NGC,100,00h24m00s,+16d29m00s,5.8,2
NGC,1003,02h39m18s,+40d52m00s,5.4,2
NGC,1012,02h39m18s,+30d09m00s,2.9,1
NGC,1015,02h38m06s,-01d19m00s,3.5,2
NGC,1016,02h38m18s,+02d08m00s,2.8,1
NGC,1019,02h38m24s,+01d55m00s,1.2,1
NGC,1022,02h38m30s,-06d40m00s,2.5,2
NGC,1023,02h40m24s,+39d04m00s,8.7,2
NGC,1024,02h39m12s,+10d51m00s,4.7,1
NGC,1025,02h36m18s,-54d52m00s,1.2,2
NGC,1027,02h42m42s,+61d33m00s,20.0,3
NGC,103,00h25m18s,+61d21m00s,5.0,2
NGC,1031,02h36m36s,-54d52m00s,2.2,2
NGC,1032,02h39m24s,+01d06m00s,3.6,1
NGC,1035,02h39m30s,-08d08m00s,2.2,1
NGC,1036,02h40m30s,+19d18m00s,2.0,1
NGC,1039,02h42m00s,+42d47m00s,35.0,3
NGC,104,00h24m06s,-72d05m00s,30.9,3
NGC,1042,02h40m24s,-08d26m00s,4.7,2
NGC,1044,02h41m06s,+08d44m00s,0.6,1
NGC,1047,02h40m30s,-08d09m00s,1.5,1
NGC,1048,02h40m36s,-08d33m00s,1.3,1
NGC,105,00h25m18s,+12d53m00s,1.2,1
NGC,1051,02h41m06s,-06d56m00s,1.9,2
NGC,1052,02h41m06s,-08d15m00s,2.9,2
NGC,1055,02h41m48s,+00d26m00s,7.6,2
NGC,1058,02h43m30s,+37d21m00s,3.0,2
NGC,1063,02h42m12s,-05d34m00s,1.6,2
NGC,1067,02h43m48s,+32d31m00s,1.3,1
NGC,1068,02h42m42s,-00d01m00s,6.9,3
NGC,1072,02h43m30s,+00d18m00s,1.7,1
NGC,1073,02h43m42s,+01d23m00s,4.9,2
NGC,1079,02h43m42s,-29d00m00s,3.1,2
NGC,1080,02h45m12s,-04d43m00s,1.4,2
NGC,1084,02h46m00s,-07d35m00s,2.9,2
NGC,1085,02h46m24s,+03d37m00s,1.7,1
NGC,1087,02h46m24s,-00d30m00s,3.5,2
NGC,1090,02h46m36s,-00d15m00s,3.8,2
NGC,1094,02h47m30s,-00d17m00s,1.4,1
NGC,1096,02h43m48s,-59d55m00s,2.3,2
NGC,1097,02h46m18s,-30d17m00s,9.3,2
NGC,1104,02h48m36s,-00d16m00s,1.3,1
NGC,1110,02h49m18s,-07d51m00s,2.7,2
NGC,1134,02h53m36s,+13d00m00s,2.5,1
NGC,1135,02h50m48s,-54d56m00s,0.8,2
NGC,1136,02h50m54s,-55d04m00s,1.7,2
NGC,1140,02h54m36s,-10d02m00s,1.4,1
NGC,1143,02h55m06s,-00d10m00s,1.1,1
NGC,1144,02h55m12s,-00d11m00s,0.9,1
NGC,1156,02h59m42s,+25d14m00s,3.1,2
NGC,1160,03h01m12s,+44d58m00s,1.6,1
NGC,1161,03h01m12s,+44d55m00s,3.1,1
NGC,1163,03h00m18s,-17d09m00s,3.4,2
NGC,1165,02h58m42s,-32d07m00s,3.1,2
NGC,1167,03h01m42s,+35d12m00s,3.1,1
NGC,1169,03h03m36s,+46d23m00s,4.4,2
NGC,1171,03h04m00s,+43d24m00s,3.2,1
NGC,1172,03h01m36s,-14d50m00s,2.2,2
NGC,1175,03h04m30s,+42d20m00s,2.5,1
NGC,1179,03h02m36s,-18d54m00s,4.6,2
NGC,1184,03h16m36s,+80d48m00s,3.0,1
NGC,1186,03h05m30s,+42d50m00s,3.3,1
NGC,1187,03h02m36s,-22d52m00s,5.0,2
NGC,1193,03h05m48s,+44d23m00s,2.0,1
NGC,1199,03h03m36s,-15d37m00s,2.2,2
NGC,12,00h08m42s,+04d37m00s,1.9,1
NGC,120,00h27m30s,-01d31m00s,1.8,1
NGC,1201,03h04m06s,-26d04m00s,4.4,2
NGC,1209,03h06m00s,-15d37m00s,2.6,2
NGC,121,00h26m48s,-71d32m00s,1.5,2
NGC,1218,03h08m24s,+04d07m00s,1.3,1
NGC,1220,03h11m42s,+53d20m00s,2.0,2
NGC,1222,03h08m54s,-02d58m00s,1.3,1
NGC,1224,03h11m18s,+41d22m00s,1.7,1
NGC,1229,03h08m12s,-22d58m00s,1.9,1
NGC,1232,03h09m48s,-20d35m00s,7.8,2
NGC,1233,03h12m30s,+39d19m00s,2.1,1
NGC,124,00h27m54s,-01d49m00s,1.6,1
NGC,1241,03h11m18s,-08d55m00s,3.0,1
NGC,1242,03h11m18s,-08d54m00s,1.3,1
NGC,1243,03h11m24s,-08d57m00s,0.4,1
NGC,1244,03h06m30s,-66d47m00s,2.0,2
NGC,1245,03h14m42s,+47d15m00s,10.0,3
NGC,1246,03h07m00s,-66d56m00s,1.5,2
NGC,1247,03h12m12s,-10d29m00s,3.6,1
NGC,1248,03h12m48s,-05d13m00s,1.3,1
NGC,1249,03h10m06s,-53d21m00s,5.2,2
NGC,125,00h28m48s,+02d50m00s,2.0,1
NGC,1250,03h15m24s,+41d21m00s,2.7,1
NGC,1253,03h14m06s,-02d49m00s,4.8,2
NGC,1255,03h13m30s,-25d44m00s,4.1,2
NGC,126,00h29m06s,+02d49m00s,1.4,1
NGC,1260,03h17m30s,+41d24m00s,1.7,1
NGC,1261,03h12m18s,-55d13m00s,6.9,3
NGC,1265,03h18m18s,+41d52m00s,2.1,1
NGC,1267,03h18m42s,+41d28m00s,1.4,1
NGC,1268,03h18m48s,+41d29m00s,1.2,1
NGC,127,00h29m12s,+02d52m00s,1.0,1
NGC,1270,03h19m00s,+41d28m00s,1.1,1
NGC,1272,03h19m18s,+41d29m00s,2.5,1
NGC,1273,03h19m24s,+41d32m00s,1.4,1
NGC,1274,03h19m42s,+41d33m00s,0.6,1
NGC,1275,03h19m48s,+41d31m00s,2.6,2
NGC,1277,03h19m48s,+41d34m00s,0.8,1
NGC,1278,03h19m54s,+41d33m00s,1.7,1
NGC,128,00h29m12s,+02d51m00s,3.4,2
NGC,1281,03h20m06s,+41d38m00s,0.7,1
NGC,1282,03h20m12s,+41d22m00s,1.7,1
NGC,1283,03h20m18s,+41d24m00s,1.3,1
NGC,1288,03h17m12s,-32d35m00s,2.3,1
NGC,129,00h29m54s,+60d14m00s,21.0,3
NGC,1291,03h17m18s,-41d08m00s,10.5,3
NGC,1292,03h18m12s,-27d37m00s,3.2,1
NGC,1293,03h21m36s,+41d24m00s,1.1,1
NGC,1294,03h21m42s,+41d22m00s,1.8,1
NGC,1297,03h19m12s,-19d06m00s,2.3,1
NGC,1298,03h20m12s,-02d06m00s,1.5,1
NGC,13,00h08m48s,+33d26m00s,2.7,1
NGC,130,00h29m18s,+02d52m00s,0.9,1
NGC,1300,03h19m42s,-19d25m00s,6.5,2
NGC,1302,03h19m54s,-26d04m00s,4.4,2
NGC,1305,03h21m24s,-02d19m00s,1.9,1
NGC,1306,03h21m00s,-25d31m00s,1.4,2
NGC,1309,03h22m06s,-15d24m00s,2.3,2
NGC,131,00h29m36s,-33d16m00s,2.1,2
NGC,1310,03h21m00s,-37d08m00s,2.3,2
NGC,1313,03h18m18s,-66d30m00s,8.5,2
NGC,1315,03h23m06s,-21d23m00s,1.8,1
NGC,1316,03h22m42s,-37d12m00s,7.1,3
NGC,1317,03h22m48s,-37d06m00s,3.2,2
NGC,1319,03h23m54s,-21d32m00s,1.3,1
NGC,132,00h30m12s,+02d06m00s,2.0,1
NGC,1320,03h24m48s,-03d01m00s,1.9,1
NGC,1325,03h24m24s,-21d33m00s,4.6,2
NGC,1326,03h23m54s,-36d28m00s,4.0,2
NGC,133,00h31m12s,+63d22m00s,7.0,2
