cat,name,ra,dec,size,bri
SH2,1,15h58m51s,-26d07m14s,150,3
SH2,2,17h04m07s,-38d08m33s,60,2
SH2,3,17h13m45s,-38d30m11s,12,3
SH2,4,17h19m49s,-39d20m20s,5,3
SH2,5,17h20m03s,-38d27m17s,100,2
SH2,6,17h15m04s,-37d07m00s,4,3
SH2,7,16h00m20s,-22d57m02s,240,1
SH2,8,17h21m25s,-36d02m05s,120,3
SH2,9,16h21m11s,-25d35m22s,80,2
SH2,10,17h19m00s,-34d05m25s,60,2
SH2,11,17h26m31s,-34d12m21s,90,3
SH2,12,17h35m56s,-32d35m59s,120,2
SH2,13,17h30m29s,-31d33m46s,40,2
SH2,14,17h30m18s,-30d15m47s,2,2
SH2,15,17h50m34s,-31d15m51s,30,2
SH2,16,17h47m52s,-29d18m14s,20,2
SH2,17,17h46m09s,-28d51m29s,25,2
SH2,18,17h48m46s,-29d15m06s,4,2
SH2,19,17h49m22s,-29d07m01s,12,2
SH2,20,17h49m14s,-28d40m02s,10,2
SH2,21,17h51m39s,-28d53m41s,5,2
SH2,22,17h55m04s,-25d02m10s,60,2
SH2,23,16h13m25s,-08d22m20s,50,1
SH2,24,16h11m04s,-07d04m38s,30,2
SH2,25,18h05m26s,-24d23m39s,90,3
SH2,26,17h59m00s,-23d19m36s,20,1
SH2,27,16h37m12s,-10d34m11s,480,2
SH2,28,18h02m42s,-23d35m03s,40,1
SH2,29,18h10m31s,-23d59m55s,40,2
SH2,30,18h03m34s,-23d00m55s,20,3
SH2,31,18h11m18s,-23d47m48s,8,2
SH2,32,18h10m54s,-23d38m51s,8,2
SH2,33,15h59m52s,-01d37m03s,35,1
SH2,34,18h06m24s,-21d39m30s,90,2
SH2,35,18h15m51s,-20d15m07s,20,2
SH2,36,16h05m30s,+00d23m40s,45,1
SH2,37,18h17m43s,-19d39m51s,20,2
SH2,38,18h08m46s,-18d16m09s,3,1
SH2,39,18h16m46s,-18d39m00s,3,2
SH2,40,18h12m02s,-17d44m40s,15,2
SH2,41,18h15m51s,-18d14m07s,90,2
SH2,42,18h10m18s,-16d48m55s,3,2
SH2,43,18h16m25s,-17d24m02s,15,2
SH2,44,18h16m30s,-16d44m01s,60,2
SH2,45,18h20m46s,-16d10m24s,60,3
SH2,46,18h06m11s,-14d09m31s,25,2
SH2,47,18h17m45s,-15d36m50s,5,2
SH2,48,18h22m24s,-14d35m09s,10,2
SH2,49,18h18m41s,-13d57m42s,90,3
SH2,50,18h25m30s,-14d42m42s,35,2
SH2,51,18h40m47s,-16d33m30s,35,1
SH2,52,19h47m47s,-23d05m15s,2,2
SH2,53,18h25m15s,-13d13m44s,15,2
SH2,54,18h17m53s,-11d43m48s,140,3
SH2,55,18h32m11s,-11d45m44s,5,1
SH2,56,18h31m06s,-09d42m53s,7,1
SH2,57,18h30m34s,-08d36m57s,2,1
SH2,58,18h31m27s,-08d27m49s,8,2
SH2,59,18h37m01s,-07d36m01s,20,1
SH2,60,18h36m41s,-06d42m04s,20,2
SH2,61,18h32m55s,-05d00m36s,2,3
SH2,62,18h27m34s,-03d51m22s,4,1
SH2,63,19h57m43s,-14d06m56s,55,1
SH2,64,18h31m36s,-01d54m47s,25,2
SH2,65,18h46m58s,-03d44m35s,7,2
SH2,66,18h45m30s,-01d59m47s,8,2
SH2,67,18h49m25s,-02d21m13s,10,1
SH2,68,18h25m11s,+00d51m18s,8,2
SH2,69,18h44m26s,-00d16m56s,20,2
SH2,70,18h14m39s,+07d03m47s,5,2
SH2,71,19h02m03s,+02d09m35s,3,3
SH2,72,19h03m50s,+02d18m50s,25,2
SH2,73,16h11m08s,+21d52m26s,75,1
SH2,74,19h08m49s,+05d36m32s,3,2
SH2,75,18h59m15s,+07d07m12s,10,1
SH2,76,18h56m26s,+07d48m48s,7,1
SH2,77,19h48m17s,+01d08m52s,8,1
SH2,78,19h03m11s,+14d07m46s,12,1
SH2,79,19h23m18s,+13d58m34s,40,1
SH2,80,19h11m29s,+16d51m56s,2,3
SH2,81,20h01m13s,+11d47m34s,10,1
SH2,82,19h30m21s,+18d16m32s,9,2
SH2,83,19h24m32s,+20d47m45s,2,2
SH2,84,19h49m04s,+18d24m01s,15,3
SH2,85,19h03m17s,+25d49m49s,6,2
SH2,86,19h43m10s,+23d17m15s,40,2
SH2,87,19h46m25s,+24d37m41s,10,1
SH2,88,19h45m59s,+25d20m38s,25,2
SH2,89,19h50m02s,+26d29m10s,5,1
SH2,90,19h49m13s,+26d52m04s,6,2
SH2,91,19h35m34s,+29d36m16s,120,2
SH2,92,19h46m39s,+28d14m44s,50,1
SH2,93,19h55m01s,+27d12m49s,1,3
SH2,94,19h27m52s,+31d28m14s,25,1
SH2,95,19h55m02s,+29d17m49s,1,2
SH2,96,19h28m42s,+32d41m21s,25,1
SH2,97,19h56m05s,+30d15m57s,10,1
SH2,98,19h58m45s,+31d25m18s,15,1
SH2,99,20h00m51s,+33d29m34s,5,3
SH2,100,20h01m51s,+33d30m42s,4,3
SH2,101,19h59m58s,+35d17m28s,20,2
SH2,102,20h31m47s,+30d36m19s,40,1
SH2,103,20h50m32s,+30d55m24s,210,3
SH2,104,20h17m45s,+36d44m40s,7,2
SH2,105,20h12m03s,+38d20m59s,18,3
SH2,106,20h27m28s,+37d23m49s,3,3
SH2,107,20h42m47s,+36d20m34s,5,2
SH2,108,20h22m35s,+40d15m15s,180,3
SH2,109,20h33m38s,+40d20m33s,1080,2
SH2,110,21h20m49s,+32d27m28s,50,1
SH2,111,21h41m53s,+30d06m20s,90,1
SH2,112,20h33m50s,+45d39m35s,15,2
SH2,113,21h20m48s,+38d05m29s,15,1
SH2,114,21h21m11s,+38d42m31s,9,2
SH2,115,20h34m34s,+46d52m41s,50,2
SH2,116,20h32m19s,+47d21m25s,2,2
SH2,117,20h58m47s,+44d19m19s,240,2
SH2,118,21h37m01s,+40d12m57s,480,1
SH2,119,21h18m26s,+43d56m16s,160,3
SH2,120,21h03m47s,+49d52m51s,1,1
SH2,121,21h05m13s,+49d39m00s,1,1
SH2,122,23h08m47s,+14d55m30s,40,1
SH2,123,21h42m23s,+44d32m24s,13,2
SH2,124,21h38m22s,+50d21m05s,70,2
SH2,125,21h53m33s,+47d16m18s,9,3
SH2,126,22h33m28s,+38d34m56s,160,2
SH2,127,21h28m42s,+54d37m15s,2,2
SH2,128,21h32m09s,+55d51m33s,1,3
SH2,129,21h11m45s,+59d57m41s,140,2
SH2,130,20h43m00s,+63d13m42s,3,2
SH2,131,21h39m00s,+57d29m09s,170,2
SH2,132,22h18m48s,+56d08m05s,90,2
SH2,133,21h29m00s,+64d18m19s,80,1
SH2,134,22h11m30s,+59d24m37s,160,2
SH2,135,22h22m12s,+58d44m18s,15,2
SH2,136,21h16m30s,+68d15m11s,5,3
SH2,137,21h57m07s,+64d41m37s,90,1
SH2,138,22h32m40s,+58d28m54s,1,2
SH2,139,22h35m00s,+58d13m02s,10,1
SH2,140,22h19m08s,+63d17m07s,30,3
